_id,name,slug,description,active,isSpecial,isFeatured,onHomepage,isSubCategory,imageUrl,coverImageUrl,icon,color,subCategories[0],subCategories[1],subCategories[2],subCategories[3],subCategories[4],subCategories[5],subCategories[6],subCategories[7],subCategories[8],subCategories[9],subCategories[10],subCategories[11],subCategories[12],subCategories[13],items[0],items[1],items[2],items[3],items[4],items[5],items[6],items[7],items[8],items[9],items[10],items[11],items[12],items[13],items[14],items[15],items[16],items[17],items[18],items[19],items[20],flashSaleDiscount,seo.url,seo.metaTitle,seo.metaDescription,displayOrder,createdAt,updatedAt,parentCategory
6721600dd4dc8d92e61686bf,Téléphones & Tablettes,telephones-tablettes,,true,false,false,false,false,https://yalla.srv.tn/media/categories/images/category-1731337227000.png,https://yalla.srv.tn/media/categories/covers/cover-Tech_gif_mobile-1736435216505.gif,https://yalla.srv.tn/media/categories/icons/icon-1731537106731.png,,6722336dd4dc8d92e6168a36,6722337dd4dc8d92e6168a44,67223477d4dc8d92e6168abe,67223398d4dc8d92e6168a52,673608600be89c22b3adead5,,,,,,,,,,672160e2d4dc8d92e61686e4,672eb42c5c04d7efe493121c,,,,,,,,,,,,,,,,,,,,0,,,,1,2024-10-29T22:22:05.243Z,2025-01-11T14:38:22.841Z,
6722245cd4dc8d92e6168851,Animalerie,animalerie,,true,false,false,false,false,https://yalla.srv.tn/media/categories/images/category-1730290861866.png,https://yalla.srv.tn/media/categories/covers/cover-1736003009011.png,https://yalla.srv.tn/media/categories/icons/icon-1731537826252.png,,672224d3d4dc8d92e616885e,672224e5d4dc8d92e616886a,6722257fd4dc8d92e616889c,672f677c5c04d7efe493483c,,,,,,,,,,,675abf2b5d9e29c22f0c6e46,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:19:40.698Z,2025-01-09T14:56:51.509Z,
672224d3d4dc8d92e616885e,Chiens,chiens,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731505590852.png,,,,672f5c875c04d7efe4932e47,672f5d5c5c04d7efe4932e85,672f5daf5c04d7efe4932ec3,672f5dbe5c04d7efe4932f01,672f5e0b5c04d7efe4932f7d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:21:39.653Z,2024-11-15T14:31:29.510Z,6722245cd4dc8d92e6168851
672224e5d4dc8d92e616886a,Chats,chats,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731505601914.png,,,,672f647e5c04d7efe4933a8d,672f64925c04d7efe4933acb,672f64a35c04d7efe4933b09,672f64b85c04d7efe4933b47,672f64d35c04d7efe4933b85,672f64e15c04d7efe4933bc3,672f64f15c04d7efe4933c01,672f64fe5c04d7efe4933c3f,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:21:57.325Z,2024-11-13T13:46:42.072Z,6722245cd4dc8d92e6168851
6722257fd4dc8d92e616889c,Poissons,poissons,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731505613995.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:24:31.944Z,2024-11-13T13:46:54.164Z,6722245cd4dc8d92e6168851
67222b55d4dc8d92e61688f3,Santé & beauté,sante-beaute,,true,false,true,false,false,https://yalla.srv.tn/media/categories/images/category-1731340468196.png,https://yalla.srv.tn/media/categories/covers/cover-zazae-1736436144069.gif,https://yalla.srv.tn/media/categories/icons/icon-1731701724374.png,,67237754d4dc8d92e61692da,6723793ed4dc8d92e616939d,67237a2ed4dc8d92e61694c7,67237d13d4dc8d92e616964d,67237d3cd4dc8d92e6169684,67237e53d4dc8d92e6169802,,,,,,,,,672fcad05c04d7efe4936403,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:49:25.065Z,2025-01-09T15:22:24.133Z,
67222b7fd4dc8d92e6168900,High-Tech,Hightech,,true,false,true,false,false,https://yalla.srv.tn/media/categories/images/category-1731510516533.png,https://yalla.srv.tn/media/categories/covers/cover-tech_converted2-1736434742774.gif,https://yalla.srv.tn/media/categories/icons/icon-1731537328360.png,,672396bfd4dc8d92e6169f45,6724c6a4d4dc8d92e616a0fc,6724c701d4dc8d92e616a11e,672380acd4dc8d92e6169960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:50:07.605Z,2025-01-09T14:59:02.839Z,
67222b87d4dc8d92e616890d,Mode,mode,,true,false,true,false,false,https://yalla.srv.tn/media/categories/images/category-1730294095613.png,https://yalla.srv.tn/media/categories/covers/cover-1736003774864.png,https://yalla.srv.tn/media/categories/icons/icon-1731538303210.png,,67237ed6d4dc8d92e616989c,67237ee3d4dc8d92e61698ad,67237ef8d4dc8d92e61698be,6723881dd4dc8d92e6169a6e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:50:15.205Z,2025-01-04T15:16:14.963Z,
67222bc4d4dc8d92e616891a,Epicerie,epicerie,,true,false,false,false,false,https://yalla.srv.tn/media/categories/images/category-1730731165074.png,https://yalla.srv.tn/media/categories/covers/cover-1736003138901.png,https://yalla.srv.tn/media/categories/icons/icon-1731701789048.png,,6724cabad4dc8d92e616a282,6724cb37d4dc8d92e616a293,6724cb6ad4dc8d92e616a2a4,6724cb94d4dc8d92e616a2c6,6724cc02d4dc8d92e616a316,6724cb82d4dc8d92e616a2b5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:51:16.004Z,2025-01-04T15:05:39.019Z,
67222c11d4dc8d92e6168927,Cuisine & Electroménager,Cuisine--Electroménager,,true,false,false,false,false,https://yalla.srv.tn/media/categories/images/category-1731337279454.png,https://yalla.srv.tn/media/categories/covers/cover-1736003072841.png,https://yalla.srv.tn/media/categories/icons/icon-1731701585270.png,,67223703d4dc8d92e6168c15,6722371fd4dc8d92e6168c26,67237612d4dc8d92e6169237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,2024-10-30T12:52:33.772Z,2025-01-04T15:04:32.956Z,
67222d96d4dc8d92e6168959,Auto & Moto,auto-moto,,true,false,false,false,false,https://yalla.srv.tn/media/categories/images/category-1731685582415.png,https://yalla.srv.tn/media/categories/covers/cover-1736003106290.png,https://yalla.srv.tn/media/categories/icons/icon-1731537865116.png,,6724c874d4dc8d92e616a218,6724c890d4dc8d92e616a229,6724c910d4dc8d92e616a246,673d0d4b0be89c22b3ae74ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T12:59:02.199Z,2025-01-04T15:05:06.405Z,
6722336dd4dc8d92e6168a36,Samsung,telephone-mobiles,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731424335639.png,,,,,,,,,,,,,,,,,,672f6b7e5c04d7efe4934ca1,67360c9c0be89c22b3adf1ba,67360d220be89c22b3adf2e0,67360de10be89c22b3adf841,67360e1a0be89c22b3adf8d4,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:23:57.809Z,2024-11-14T14:50:02.554Z,6721600dd4dc8d92e61686bf
6722337dd4dc8d92e6168a44,Tablettes,tablettes,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731424346879.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:24:13.431Z,2024-11-12T15:12:26.992Z,6721600dd4dc8d92e61686bf
67223398d4dc8d92e6168a52,Accessoires,Accessoires-telephones-tablettes,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731424365436.png,,,,672235c6d4dc8d92e6168b63,672235e8d4dc8d92e6168b85,67223626d4dc8d92e6168ba7,6722360ed4dc8d92e6168b96,672235d9d4dc8d92e6168b74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:24:40.122Z,2024-11-12T15:12:45.560Z,6721600dd4dc8d92e61686bf
67223477d4dc8d92e6168abe,IPhone,telephones-fixes-,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731424356337.png,,,,,,,,,,,,,,,,,,673dc2420be89c22b3ae8195,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:28:23.038Z,2024-11-20T11:04:34.532Z,6721600dd4dc8d92e61686bf
6722352bd4dc8d92e6168b20,Téléphones Basiques,telephones-basiques,,true,false,false,false,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:31:23.731Z,2024-11-12T13:45:51.933Z,
672235c6d4dc8d92e6168b63,Etuis & Films de protections,etuis--films-de-protections,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731427786081.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:33:58.344Z,2024-11-12T16:09:46.196Z,67223398d4dc8d92e6168a52
672235d9d4dc8d92e6168b74,Ecouteurs,ecouteurs,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731427914899.png,,,,,,,,,,,,,,,,,,6742edb85d9e29c22f0c02cc,6742ee1c5d9e29c22f0c0326,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:34:17.412Z,2024-11-24T09:13:00.290Z,67223398d4dc8d92e6168a52
672235e8d4dc8d92e6168b85,Accessoires Bluetooth,accessoires-bluetooth,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731427802378.png,,,,,,,,,,,,,,,,,,673c8b5a0be89c22b3ae673a,673c8bc60be89c22b3ae675b,673c8c500be89c22b3ae677c,673c8ce40be89c22b3ae679d,673c8ddd0be89c22b3ae696f,673c91130be89c22b3ae69cc,673c91f10be89c22b3ae69ed,673d0be30be89c22b3ae73e2,673d0c2e0be89c22b3ae73fd,673d0ce00be89c22b3ae745e,673d0d120be89c22b3ae7479,673d0e040be89c22b3ae75e7,673d0e9a0be89c22b3ae761d,673d0ed00be89c22b3ae763e,674090d85d9e29c22f0bb930,6742ec105d9e29c22f0c00f2,6742ecde5d9e29c22f0c01a6,6742ed2a5d9e29c22f0c0200,6742ee805d9e29c22f0c03a2,6742eee45d9e29c22f0c03fc,67446af55d9e29c22f0c0e66,0,,,,0,2024-10-30T13:34:32.297Z,2024-11-25T12:17:57.708Z,67223398d4dc8d92e6168a52
6722360ed4dc8d92e6168b96,Power Banks,power-banks,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731427903523.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:35:10.202Z,2024-11-12T16:11:43.626Z,67223398d4dc8d92e6168a52
67223626d4dc8d92e6168ba7,Chargeurs & Cables,chargeurs--cables,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731427894591.png,,,,,,,,,,,,,,,,,,6742ec7a5d9e29c22f0c014c,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:35:34.770Z,2024-11-24T09:06:02.672Z,67223398d4dc8d92e6168a52
67223703d4dc8d92e6168c15,Petits Electroménager,petits-electromenager,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731421050418.png,,,,6722381fd4dc8d92e6168c67,6722383ad4dc8d92e6168c85,6722387cd4dc8d92e6168ca3,672238ced4dc8d92e6168cc5,6722389bd4dc8d92e6168cb4,67223900d4dc8d92e6168cd6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:39:15.388Z,2024-11-13T16:14:23.135Z,67222c11d4dc8d92e6168927
6722371fd4dc8d92e6168c26,Gros Electroménager,gros-electromenager,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731421060889.png,,,,672239add4dc8d92e6168d6d,672239c9d4dc8d92e6168d7e,672239ebd4dc8d92e6168da0,672239dcd4dc8d92e6168d8f,67223a21d4dc8d92e6168dc2,67223a0dd4dc8d92e6168db1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:39:43.490Z,2024-11-12T14:17:40.987Z,67222c11d4dc8d92e6168927
6722381fd4dc8d92e6168c67,Mélangeurs,melangeurs,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731514846261.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:43:59.559Z,2024-11-13T16:20:46.430Z,67223703d4dc8d92e6168c15
6722383ad4dc8d92e6168c85,Friteuses & Air Fryers,friteuses--airfryers,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731514858493.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:44:26.519Z,2024-11-13T16:20:58.674Z,67223703d4dc8d92e6168c15
6722387cd4dc8d92e6168ca3,Micro-ondes & Fours électriques,micro-ondes--fours-electriques,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731514880338.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:45:32.355Z,2024-11-13T16:21:20.525Z,67223703d4dc8d92e6168c15
6722389bd4dc8d92e6168cb4,Robots pétrins & Batteurs,robots-petrins--batteurs,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731514923208.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:46:03.602Z,2024-11-13T16:22:03.371Z,67223703d4dc8d92e6168c15
672238ced4dc8d92e6168cc5,"Café,Thé & Expresso",cafethe--expresso,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731514906852.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:46:54.133Z,2024-11-13T16:21:47.051Z,67223703d4dc8d92e6168c15
67223900d4dc8d92e6168cd6,Machines à pain,machines-a-pain,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731514938409.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:47:44.033Z,2024-11-13T16:22:18.565Z,67223703d4dc8d92e6168c15
672239add4dc8d92e6168d6d,Réfrigérateurs,refrigerateurs,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731515514677.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:50:37.156Z,2024-11-13T16:31:54.864Z,6722371fd4dc8d92e6168c26
672239c9d4dc8d92e6168d7e,Plaques de Cuisson,plaques-de-cuisson,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731515530052.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:51:05.806Z,2024-11-13T16:32:10.243Z,6722371fd4dc8d92e6168c26
672239dcd4dc8d92e6168d8f,Fours encastrable,fours-encastrable,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731515555929.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:51:24.293Z,2024-11-13T16:32:36.123Z,6722371fd4dc8d92e6168c26
672239ebd4dc8d92e6168da0,Congélateurs,congelateurs,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731515541598.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:51:39.370Z,2024-11-13T16:32:21.772Z,6722371fd4dc8d92e6168c26
67223a0dd4dc8d92e6168db1,Lave-Linges & Sèche-Linges,lave-linges--seche-linges,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731515583540.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:52:13.754Z,2024-11-13T16:33:03.730Z,6722371fd4dc8d92e6168c26
67223a21d4dc8d92e6168dc2,Climatiseurs,climatiseurs,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731515567421.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-30T13:52:33.746Z,2024-11-13T16:32:47.944Z,6722371fd4dc8d92e6168c26
672374d4d4dc8d92e6169170,Cocotte-Minute,cocotte-minute,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517005745.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:15:16.439Z,2024-11-13T16:56:45.923Z,67237612d4dc8d92e6169237
672374e9d4dc8d92e6169181,conservation des Aliments,conservation-des-aliments,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517016584.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:15:37.681Z,2024-11-13T16:56:56.743Z,67237612d4dc8d92e6169237
6723752dd4dc8d92e6169192,Outils de mesure & balances,outils-de-mesure-et-balances,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517494208.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:16:45.157Z,2024-11-13T17:04:54.374Z,67237612d4dc8d92e6169237
67237539d4dc8d92e61691a3,Gourdes,Gourdes,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517502776.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:16:57.668Z,2024-11-13T17:05:02.936Z,67237612d4dc8d92e6169237
67237548d4dc8d92e61691b4,Poêles,poeles,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517031029.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:17:12.995Z,2024-11-13T16:57:11.191Z,67237612d4dc8d92e6169237
67237570d4dc8d92e61691c5,Couverts vaisselles,couverts-vaisselles,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517044075.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:17:52.306Z,2024-11-13T16:57:24.243Z,67237612d4dc8d92e6169237
6723757cd4dc8d92e61691d6,Casseroles,casseroles,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517063019.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:18:04.059Z,2024-11-13T16:57:43.203Z,67237612d4dc8d92e6169237
672375b0d4dc8d92e61691f9,Moules à Gateau,moules-a-gateau,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517083315.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:18:56.634Z,2024-11-13T16:58:03.490Z,67237612d4dc8d92e6169237
672375c8d4dc8d92e616920a,Couscoussier,couscoussier,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731517095945.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:19:20.396Z,2024-11-13T16:58:16.102Z,67237612d4dc8d92e6169237
67237612d4dc8d92e6169237,Ustensiles,Ustensiles,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731421176437.png,,,,672374d4d4dc8d92e6169170,672374e9d4dc8d92e6169181,67237539d4dc8d92e61691a3,6723752dd4dc8d92e6169192,67237548d4dc8d92e61691b4,67237570d4dc8d92e61691c5,6723757cd4dc8d92e61691d6,672375b0d4dc8d92e61691f9,672375c8d4dc8d92e616920a,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:20:34.292Z,2024-11-13T16:42:56.139Z,67222c11d4dc8d92e6168927
67237754d4dc8d92e61692da,Soins de la peau,soinspeau,,true,true,false,false,true,https://yalla.srv.tn/media/categories/images/category-1730733053888.png,https://yalla.srv.tn/media/categories/covers/cover-azeazeafd-1736523440356.gif,,,67237764d4dc8d92e61692eb,67237772d4dc8d92e61692fc,672378e9d4dc8d92e616936e,67237e1dd4dc8d92e6169798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:25:56.953Z,2025-01-10T15:37:20.430Z,67222b55d4dc8d92e61688f3
67237764d4dc8d92e61692eb,Soins Corps,soins-corps,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1730815661662.png,,,,67314bc45c04d7efe49381a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:26:12.538Z,2024-11-11T00:11:58.721Z,67237754d4dc8d92e61692da
67237772d4dc8d92e61692fc,Soins visage,soins-visage,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731594217577.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:26:26.846Z,2024-11-14T14:23:37.679Z,67237754d4dc8d92e61692da
672378e9d4dc8d92e616936e,Protections Solaires et Bronzage,protections-solaires-et-bronzage,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731594228040.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:32:41.528Z,2024-11-14T14:23:48.150Z,67237754d4dc8d92e61692da
6723793ed4dc8d92e616939d,Soin Capillaires,Soins-Capillaires,,true,true,false,false,true,https://yalla.srv.tn/media/categories/images/category-1730733074696.png,https://yalla.srv.tn/media/categories/covers/cover-b1_mobile-1736523415464.png,,,6723795dd4dc8d92e61693bb,67237978d4dc8d92e61693cc,6723798ad4dc8d92e61693dd,67237998d4dc8d92e61693ee,672379afd4dc8d92e616940b,672379f5d4dc8d92e6169451,672379dbd4dc8d92e6169440,,,,,,,,672eb65c5c04d7efe49313bb,672eb7565c04d7efe493146e,672eb7fd5c04d7efe4931523,672eb8935c04d7efe4931715,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:34:06.726Z,2025-01-10T15:36:55.576Z,67222b55d4dc8d92e61688f3
6723795dd4dc8d92e61693bb,Shampoing,shampoing,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731595490310.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:34:37.541Z,2024-11-14T14:44:50.413Z,6723793ed4dc8d92e616939d
67237978d4dc8d92e61693cc,Après Shampoing,apres-shampoing,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731595500779.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:35:04.838Z,2024-11-14T14:45:00.889Z,6723793ed4dc8d92e616939d
6723798ad4dc8d92e61693dd,Soins Capillaires,soins-capillaires,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731595677261.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:35:22.296Z,2024-11-14T14:47:57.372Z,6723793ed4dc8d92e616939d
67237998d4dc8d92e61693ee,Colorations Cheveux,colorations-cheveux,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731595691480.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:35:36.609Z,2024-11-14T14:48:11.581Z,6723793ed4dc8d92e616939d
672379afd4dc8d92e616940b,Brosses à Cheveux,brosses-a-cheveux,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731595712152.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:35:59.543Z,2024-11-14T14:48:32.258Z,6723793ed4dc8d92e616939d
672379dbd4dc8d92e6169440,Extensions & Perruques,extensions--perruques,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731595731032.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:36:43.685Z,2024-11-14T14:48:51.152Z,6723793ed4dc8d92e616939d
672379f5d4dc8d92e6169451,Sèche-Cheveux & Accessoires,seche-cheveux,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1731595721077.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:37:09.672Z,2024-11-14T14:48:41.202Z,6723793ed4dc8d92e616939d
67237a2ed4dc8d92e61694c7,Maquillage,maquillage,,true,false,false,false,true,https://yalla.srv.tn/media/categories/images/category-1730733134566.png,https://yalla.srv.tn/media/categories/covers/cover-b7_mobile-1736522478916.png,,,67237c1cd4dc8d92e6169559,67237c3dd4dc8d92e6169572,67237c97d4dc8d92e6169594,67237c6cd4dc8d92e6169583,67237caad4dc8d92e61695a5,67237ce8d4dc8d92e61695d2,67237cf4d4dc8d92e61695e3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,2024-10-31T12:38:06.511Z,2025-01-10T15:21:19.037Z,67222b55d4dc8d92e61688f3
